bikeID,Age,Gender,TripDuration,StartStation,EndStation
22794,63,FEMALE,00:14:49,Howard St & Centre St,South End Ave & Liberty St
21997,42,FEMALE,00:09:49,10 Ave & W 28 St,Greenwich Ave & 8 Ave
22285,66,MALE,00:15:23,Howard St & Centre St,South End Ave & Liberty St
24183,61,MALE,00:38:41,Amsterdam Ave & W 73 St,Columbus Ave & W 72 St
15747,28,MALE,00:11:34,Howard St & Centre St,E 17 St & Broadway
23933,61,MALE,00:22:56,E 33 St & 2 Ave,South St & Whitehall St
23993,53,MALE,00:10:15,E 7 St & Avenue A,Norfolk St & Broome St
22541,54,MALE,00:29:30,W 82 St & Central Park West,9 Ave & W 22 St
22193,36,MALE,00:08:45,Pike St & Monroe St,St Marks Pl & 2 Ave
18665,60,MALE,00:11:07,Broadway & W 24 St,8 Ave & W 33 St
15061,35,MALE,00:08:59,Franklin St & Dupont St,Kent Ave & N 7 St
24071,54,MALE,00:20:45,W 27 St & 7 Ave,E 23 St & 1 Ave
15082,42,MALE,00:14:48,Greenwich Ave & 8 Ave,E 4 St & 2 Ave
16624,42,MALE,00:11:59,Huron St & Franklin St,44 Dr & Jackson Ave
23650,42,FEMALE,00:15:37,Centre St & Chambers St,E 20 St & Park Ave
19804,61,FEMALE,00:33:58,5 Ave & E 78 St,9 Ave & W 45 St
21624,54,FEMALE,00:12:23,Forsyth St & Broome St,1 Ave & E 18 St
22560,48,MALE,00:11:02,W 70 St & Amsterdam Ave,Riverside Dr & W 72 St
24072,73,MALE,00:15:36,W 70 St & Amsterdam Ave,Grand Army Plaza & Central Park S
21223,53,MALE,00:08:55,E 4 St & 2 Ave,Christopher St & Greenwich St
17569,64,MALE,00:09:17,West Thames St,Hudson St & Reade St
24232,70,FEMALE,00:22:23,1 Ave & E 18 St,E 85 St & 3 Ave
14785,47,MALE,00:13:32,E 39 St & 2 Ave,E 13 St & Avenue A
22478,50,MALE,00:16:07,E 24 St & Park Ave S,W 47 St & 10 Ave
15713,34,FEMALE,00:18:12,E 10 St & 5 Ave,E 33 St & 2 Ave
20945,34,FEMALE,00:18:07,E 10 St & 5 Ave,E 33 St & 2 Ave
19039,42,FEMALE,00:16:00,W 33 St & 7 Ave,Washington St & Gansevoort St
20258,42,FEMALE,00:15:31,W 33 St & 7 Ave,Washington St & Gansevoort St
23386,43,MALE,00:14:39,Grand Army Plaza & Central Park S,W 31 St & 7 Ave
21644,36,MALE,00:43:26,Canal St & Rutgers St,10 Ave & W 28 St
15861,36,MALE,00:43:15,W 37 St & 5 Ave,Grand Army Plaza & Central Park S
19731,51,MALE,00:10:57,6 Ave & W 33 St,Greenwich Ave & Charles St
24185,66,MALE,00:11:07,E 20 St & 2 Ave,W 26 St & 8 Ave
22417,39,MALE,00:11:15,E 23 St & 1 Ave,Broadway & W 36 St
18800,68,MALE,00:25:55,Central Park S & 6 Ave,E 25 St & 1 Ave
24277,31,MALE,00:12:58,Brooklyn Bridge Park - Pier 2,Bond St & Schermerhorn St
20030,59,FEMALE,00:25:02,W 13 St & 7 Ave,E 47 St & 2 Ave
18457,42,FEMALE,00:15:41,E 3 St & 1 Ave,W 21 St & 6 Ave
23757,38,MALE,00:15:15,E 3 St & 1 Ave,W 21 St & 6 Ave
24192,35,MALE,00:15:28,W 27 St & 7 Ave,W 52 St & 11 Ave
23590,28,FEMALE,00:14:28,Peck Slip & Front St,E 3 St & 1 Ave
23514,64,MALE,00:11:26,5 Ave & E 78 St,E 59 St & Madison Ave
14540,38,MALE,00:12:45,Suffolk St & Stanton St,E 16 St & Irving Pl
17169,39,MALE,00:12:18,W 37 St & 5 Ave,Sullivan St & Washington Sq
23532,47,MALE,00:16:23,W 39 St & 9 Ave,E 23 St & 1 Ave
16810,39,MALE,00:31:39,9 Ave & W 45 St,1 Ave & E 68 St
22093,46,MALE,00:36:05,5 Ave & E 63 St,Greenwich Ave & 8 Ave
16240,32,MALE,00:10:52,Front St & Washington St,Johnson St & Gold St
22831,75,MALE,00:09:12,W 29 St & 9 Ave,W 15 St & 7 Ave
23753,38,MALE,00:23:20,W 78 St & Broadway,9 Ave & W 16 St
23178,74,MALE,00:40:46,Central Park West & W 68 St,Central Park West & W 72 St
16316,41,MALE,00:15:02,Banker St & Meserole Ave,S 5 Pl & S 4 St
22231,36,FEMALE,00:15:18,Banker St & Meserole Ave,S 5 Pl & S 4 St
23963,45,MALE,00:12:49,46 Ave & 5 St,Jackson Ave & 46 Rd
14659,53,MALE,00:21:18,John St & William St,E 2 St & Avenue B
23592,52,MALE,00:20:54,John St & William St,E 2 St & Avenue B
20850,43,MALE,00:09:11,E 12 St & 3 Ave,Forsyth St & Broome St
23068,43,UNKNOWN,00:37:23,E 17 St & Broadway,Hanson Pl & St Felix St
18580,44,FEMALE,00:12:35,Broadway & Roebling St,Clinton Ave & Flushing Ave
22100,32,MALE,00:30:24,W 56 St & 6 Ave,Suffolk St & Stanton St
20988,49,MALE,00:08:55,Broadway & W 60 St,W 52 St & 9 Ave
16819,52,FEMALE,00:11:58,W 52 St & 9 Ave,Amsterdam Ave & W 73 St
22056,33,MALE,00:12:18,W 84 St & Broadway,W 52 St & 9 Ave
19020,50,FEMALE,00:09:23,Washington St & Gansevoort St,10 Ave & W 28 St
22158,44,MALE,00:08:32,Lexington Ave & E 24 St,W 15 St & 7 Ave
19050,56,MALE,00:09:27,Barrow St & Hudson St,9 Ave & W 22 St
17594,54,MALE,00:22:04,W 43 St & 10 Ave,W 15 St & 7 Ave
18983,41,FEMALE,00:19:20,E 85 St & 3 Ave,Queens Plaza North & Crescent St
23744,38,MALE,00:09:42,W Broadway & Spring St,St Marks Pl & 1 Ave
15276,58,MALE,00:10:12,Carmine St & 6 Ave,E 2 St & Avenue B
17144,36,MALE,00:22:11,W 13 St & 6 Ave,W 44 St & 5 Ave
23742,47,MALE,00:12:26,St Marks Pl & 2 Ave,Pike St & Monroe St
22671,41,FEMALE,00:17:58,Broadway & Berry St,Forsyth St & Broome St
24044,43,MALE,00:20:37,Berry St & N 8 St,Tompkins Ave & Hopkins St
18161,34,MALE,00:15:37,Washington St & Gansevoort St,E 4 St & 2 Ave
19301,39,MALE,00:15:26,Madison St & Montgomery St,Mercer St & Bleecker St
22607,44,MALE,00:11:48,E 25 St & 2 Ave,W 16 St & The High Line
20299,58,MALE,00:20:59,W 53 St & 10 Ave,Lexington Ave & E 24 St
23636,36,MALE,00:54:08,W 70 St & Amsterdam Ave,West Thames St
17970,57,FEMALE,00:15:19,Lafayette St & E 8 St,Broadway & W 32 St
15258,60,MALE,00:15:08,Lafayette St & E 8 St,Broadway & W 32 St
18734,54,MALE,00:17:24,E 52 St & 2 Ave,Amsterdam Ave & W 73 St
18414,57,MALE,00:17:06,York St & Jay St,Peck Slip & Front St
23113,47,MALE,00:19:43,W 43 St & 6 Ave,6 Ave & Broome St
22101,51,MALE,00:08:42,Grand Army Plaza & Central Park S,Amsterdam Ave & W 73 St
18426,49,MALE,00:31:54,Stagg St & Union Ave,Bank St & Hudson St
22554,50,MALE,00:16:30,Bank St & Washington St,W 37 St & 10 Ave
14957,55,FEMALE,00:09:12,Columbus Ave & W 72 St,W 64 St & West End Ave
20028,42,MALE,00:12:54,9 Ave & W 45 St,W 20 St & 8 Ave
23970,61,MALE,00:20:21,11 Ave & W 41 St,Christopher St & Greenwich St
21648,50,MALE,00:10:00,St Marks Pl & 1 Ave,E 33 St & 2 Ave
20613,54,MALE,00:11:16,9 Ave & W 22 St,LaGuardia Pl & W 3 St
22777,49,MALE,00:17:37,Broadway & W 29 St,Columbus Ave & W 72 St
23788,33,MALE,00:22:06,E 11 St & 1 Ave,South End Ave & Liberty St
24062,55,MALE,00:12:19,W 13 St & 7 Ave,Duane St & Greenwich St
15774,40,MALE,00:13:09,W 18 St & 6 Ave,E 10 St & Avenue A
22123,37,MALE,00:17:27,E 51 St & 1 Ave,1 Ave & E 15 St
21683,54,MALE,00:17:13,E 4 St & 2 Ave,W 4 St & 7 Ave S
21049,44,FEMALE,00:10:02,Lispenard St & Broadway,Christopher St & Greenwich St
21512,40,MALE,00:15:05,W 17 St & 8 Ave,W 47 St & 10 Ave
22606,40,MALE,00:08:23,Greenwich Ave & Charles St,W 22 St & 10 Ave
20804,60,MALE,00:11:45,MacDougal St & Washington Sq,W 26 St & 8 Ave
23931,61,MALE,00:28:36,Clark St & Henry St,Avenue D & E 3 St
23326,46,FEMALE,00:08:49,Monroe St & Bedford Ave,Willoughby Ave & Tompkins Ave
22920,47,MALE,00:08:45,Monroe St & Bedford Ave,Willoughby Ave & Tompkins Ave
23775,47,FEMALE,00:09:10,6 Ave & W 33 St,W 15 St & 7 Ave
24244,38,MALE,00:15:14,5 Ave & E 78 St,E 58 St & 3 Ave
24098,39,MALE,00:18:07,Division St & Bowery,Bayard St & Baxter St
24272,53,MALE,00:22:19,W 42 St & 8 Ave,E 10 St & Avenue A
16177,46,FEMALE,00:15:39,W 78 St & Broadway,9 Ave & W 45 St
22423,65,MALE,00:28:38,W 64 St & West End Ave,1 Ave & E 78 St
19557,40,MALE,00:14:53,W 70 St & Amsterdam Ave,Broadway & W 51 St
20753,41,MALE,00:09:27,E 15 St & 3 Ave,9 Ave & W 18 St
19804,61,FEMALE,00:09:25,9 Ave & W 45 St,W 29 St & 9 Ave
22823,49,FEMALE,00:08:45,5 Ave & E 29 St,W 20 St & 8 Ave
18871,48,MALE,00:09:17,University Pl & E 14 St,E 2 St & Avenue B
20872,58,MALE,00:08:42,E 10 St & Avenue A,Broadway & E 14 St
24194,39,MALE,00:15:41,Suffolk St & Stanton St,1 Ave & E 44 St
23325,38,FEMALE,00:10:02,Allen St & E Houston St,MacDougal St & Prince St
23115,42,MALE,00:08:41,Union Ave & Wallabout St,DeKalb Ave & Skillman St
16989,43,FEMALE,00:16:05,Centre St & Chambers St,W 33 St & 7 Ave
24158,53,MALE,00:14:20,W 44 St & 5 Ave,Central Park West & W 68 St
15318,51,MALE,00:18:43,Canal St & Rutgers St,Franklin St & W Broadway
23578,57,MALE,00:11:17,W 56 St & 10 Ave,W 37 St & 10 Ave
18344,39,MALE,00:12:51,Broadway & W 29 St,E 7 St & Avenue A
20978,33,MALE,00:14:21,Centre St & Chambers St,6 Ave & Canal St
22200,47,MALE,00:18:39,5 Ave & E 63 St,E 7 St & Avenue A
22082,59,MALE,00:14:15,Broadway & W 37 St,W 20 St & 8 Ave
23538,36,FEMALE,00:11:13,8 Ave & W 33 St,E 17 St & Broadway
22570,54,MALE,00:12:33,E 80 St & 2 Ave,E 55 St & 2 Ave
